CN       N        IDLE    
44       1        82.36   
72       2        66.60   
96       3        58.90   
116      4        52.40   
137      5        46.25   
151      6        43.24   
163      7        38.76   
170      8        35.00   
182      9        32.60   
191      10       27.40   
205      11       26.13   
213      12       23.48   
214      13       22.24   
213      14       21.84   
220      15       16.10   
231      16       17.88   
229      17       15.60   
246      18       12.70   
241      19       10.30   
252      20       9.20    
239      21       10.59   
247      22       12.21   
260      23       4.60    
262      24       3.50    
271      25       2.20    
266      26       5.11    
270      27       0.90    
273      28       1.60    
275      29       0.60    
276      30       1.10    
266      31       0.30    
266      32       1.00    
265      33       0.50    
277      34       0.50    
269      35       0.10    
265      36       0.00    
264      37       0.10    
258      38       0.10    
241      39       0.10    
260      40       0.50    
256      41       0.70    
261      42       0.40    
260      43       0.30    
265      44       0.70    
267      45       0.00    
258      46       0.10    
267      47       0.10    
252      48       0.20    
250      49       0.10    
254      50       0.00    
