13:23:13     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest   %idle
13:23:26       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   30.00
13:23:27       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   30.00
13:23:28       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   40.00
13:23:29       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   70.00
13:23:30       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
13:23:31       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
13:23:32       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   77.00
13:23:33       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   55.00
13:23:34       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:35       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:36       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:37       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:38       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:39       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:40       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:41       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:42       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:43       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:44       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:45       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:46       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:47       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:48       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:49       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:50       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:51       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:52       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:53       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:54       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:55       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:56       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:57       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:58       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:23:59       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:00       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:01       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:02       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:03       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:04       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:05       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:06       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:07       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:08       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:09       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:10       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:11       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:12       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:13       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:14       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:15       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:16       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:17       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:18       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:19       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:20       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:21       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:22       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:23       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
13:24:24       3   100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
